page_url,page_uid,page_id,page_name,styleguide_id,image_urls_found,images_downloaded,duplicates_skipped,output_folder
"https://zeroheight.com/626199550/p/16f691-action-menu","16f691","5422233","Action menu","92948","77","77","0","zeroheight_images/16f691_Action menu"
"https://zeroheight.com/626199550/p/7142d3-alert","7142d3","5458271","Alert","92948","36","36","0","zeroheight_images/7142d3_Alert"
"https://zeroheight.com/626199550/p/74e509-accordion","74e509","5960781","Accordion","92948","32","31","1","zeroheight_images/74e509_Accordion"
"https://zeroheight.com/626199550/p/094183-autocomplete","094183","4743086","Autocomplete","92948","69","67","2","zeroheight_images/094183_Autocomplete"
"https://zeroheight.com/626199550/p/330891-avatar","330891","4571068","Avatar","92948","72","72","0","zeroheight_images/330891_Avatar"
"https://zeroheight.com/626199550/p/97e03c-button","97e03c","4058883","Button","92948","91","88","2","zeroheight_images/97e03c_Button"
"https://zeroheight.com/626199550/p/093ea0-button-card","093ea0","5268968","Button card","92948","64","61","1","zeroheight_images/093ea0_Button card"
"https://zeroheight.com/626199550/p/83dfff-button-group","83dfff","5401910","Button group","92948","80","77","2","zeroheight_images/83dfff_Button group"
"https://zeroheight.com/626199550/p/72edda-card","72edda","4277281","Card","92948","48","45","3","zeroheight_images/72edda_Card"
"https://zeroheight.com/626199550/p/19c888-carousel","19c888","4929357","Carousel","92948","44","41","2","zeroheight_images/19c888_Carousel"
"https://zeroheight.com/626199550/p/27116a-cell-content","27116a","4241216","Cell content","92948","69","65","3","zeroheight_images/27116a_Cell content"
"https://zeroheight.com/626199550/p/3044f1-checkbox","3044f1","4098284","Checkbox","92948","90","87","3","zeroheight_images/3044f1_Checkbox"
"https://zeroheight.com/626199550/p/41df87-checkbox-group","41df87","5321077","Checkbox group","92948","49","47","2","zeroheight_images/41df87_Checkbox group"
"https://zeroheight.com/626199550/p/32f686-chip","32f686","6554785","Chip","92948","51","49","2","zeroheight_images/32f686_Chip"
"https://zeroheight.com/626199550/p/792d1e-chip-group","792d1e","6618035","Chip group","92948","65","63","2","zeroheight_images/792d1e_Chip group"
"https://zeroheight.com/626199550/p/5163e9-coach-mark","5163e9","7081954","Coach mark","92948","42","41","1","zeroheight_images/5163e9_Coach mark"
"https://zeroheight.com/626199550/p/273135-counter-field","273135","6126624","Counter field","92948","41","39","2","zeroheight_images/273135_Counter field"
"https://zeroheight.com/626199550/p/726e77-energy-tag","726e77","6463330","Energy tag","92948","102","101","1","zeroheight_images/726e77_Energy tag"
"https://zeroheight.com/626199550/p/507794-divider","507794","4241543","Divider","92948","14","11","3","zeroheight_images/507794_Divider"
"https://zeroheight.com/626199550/p/98cf75-dropdown","98cf75","4089817","Dropdown","92948","90","87","3","zeroheight_images/98cf75_Dropdown"
"https://zeroheight.com/626199550/p/8754bc-feedback-message","8754bc","6227434","Feedback message","92948","51","49","2","zeroheight_images/8754bc_Feedback message"
"https://zeroheight.com/626199550/p/952ba9-floating-button-group","952ba9","4699586","Floating button group","92948","29","27","2","zeroheight_images/952ba9_Floating button group"
"https://zeroheight.com/626199550/p/682afc-link","682afc","4111933","Link","92948","44","41","3","zeroheight_images/682afc_Link"
